[2023-04-13 10:57:13] [INFO]: Iteration 01200, Cost 166.26s, triplet_loss=0.2021, triplet_hard_loss=1.1474, triplet_loss_num=80957.0781, triplet_mean_dist=1.1400, softmax_loss=2.5538, softmax_accuracy=0.4589, affine_affineMatrixloss=0.0459, affine_affineTransloss=0.0030, affine_loss_num=342.4800, affine_loss_sum=0.0462, nonOccRecMSE_occ=0.7471, nonOccRecMSE_nonOcc=0.6724, nonOccRecMSE_loss=0.6724
[2023-04-13 10:59:59] [INFO]: Iteration 01300, Cost 166.16s, triplet_loss=0.2015, triplet_hard_loss=1.1487, triplet_loss_num=77169.9688, triplet_mean_dist=1.1712, softmax_loss=2.4883, softmax_accuracy=0.4728, affine_affineMatrixloss=0.0459, affine_affineTransloss=0.0030, affine_loss_num=326.6500, affine_loss_sum=0.0462, nonOccRecMSE_occ=0.7407, nonOccRecMSE_nonOcc=0.6704, nonOccRecMSE_loss=0.6704
[2023-04-13 11:02:46] [INFO]: Iteration 01400, Cost 166.38s, triplet_loss=0.2008, triplet_hard_loss=1.1428, triplet_loss_num=74956.1172, triplet_mean_dist=1.1847, softmax_loss=2.4495, softmax_accuracy=0.4868, affine_affineMatrixloss=0.0462, affine_affineTransloss=0.0030, affine_loss_num=331.3600, affine_loss_sum=0.0465, nonOccRecMSE_occ=0.7290, nonOccRecMSE_nonOcc=0.6626, nonOccRecMSE_loss=0.6626
[2023-04-13 11:05:36] [INFO]: Iteration 01500, Cost 170.01s, triplet_loss=0.2004, triplet_hard_loss=1.1448, triplet_loss_num=70767.9453, triplet_mean_dist=1.2230, softmax_loss=2.4021, softmax_accuracy=0.5056, affine_affineMatrixloss=0.0457, affine_affineTransloss=0.0030, affine_loss_num=331.0900, affine_loss_sum=0.0460, nonOccRecMSE_occ=0.7354, nonOccRecMSE_nonOcc=0.6567, nonOccRecMSE_loss=0.6567
[2023-04-13 11:09:15] [INFO]: Iteration 01600, Cost 219.81s, triplet_loss=0.2007, triplet_hard_loss=1.1478, triplet_loss_num=74032.0078, triplet_mean_dist=1.2001, softmax_loss=2.4132, softmax_accuracy=0.5031, affine_affineMatrixloss=0.0453, affine_affineTransloss=0.0029, affine_loss_num=345.2100, affine_loss_sum=0.0456, nonOccRecMSE_occ=0.7334, nonOccRecMSE_nonOcc=0.6587, nonOccRecMSE_loss=0.6587
[2023-04-13 11:13:03] [INFO]: Iteration 01700, Cost 227.34s, triplet_loss=0.1992, triplet_hard_loss=1.1444, triplet_loss_num=68945.6562, triplet_mean_dist=1.2409, softmax_loss=2.3143, softmax_accuracy=0.5296, affine_affineMatrixloss=0.0460, affine_affineTransloss=0.0030, affine_loss_num=340.0300, affine_loss_sum=0.0463, nonOccRecMSE_occ=0.7153, nonOccRecMSE_nonOcc=0.6387, nonOccRecMSE_loss=0.6387
[2023-04-13 11:16:26] [INFO]: Iteration 01800, Cost 203.48s, triplet_loss=0.1995, triplet_hard_loss=1.1469, triplet_loss_num=64563.5000, triplet_mean_dist=1.2816, softmax_loss=2.2538, softmax_accuracy=0.5522, affine_affineMatrixloss=0.0458, affine_affineTransloss=0.0030, affine_loss_num=350.5500, affine_loss_sum=0.0461, nonOccRecMSE_occ=0.7065, nonOccRecMSE_nonOcc=0.6328, nonOccRecMSE_loss=0.6328
[2023-04-13 11:19:45] [INFO]: Iteration 01900, Cost 198.25s, triplet_loss=0.1994, triplet_hard_loss=1.1505, triplet_loss_num=66567.4297, triplet_mean_dist=1.2832, softmax_loss=2.2513, softmax_accuracy=0.5513, affine_affineMatrixloss=0.0454, affine_affineTransloss=0.0030, affine_loss_num=345.7600, affine_loss_sum=0.0457, nonOccRecMSE_occ=0.7139, nonOccRecMSE_nonOcc=0.6353, nonOccRecMSE_loss=0.6353
[2023-04-13 11:23:37] [INFO]: Iteration 02000, Cost 232.41s, triplet_loss=0.1988, triplet_hard_loss=1.1479, triplet_loss_num=65204.0469, triplet_mean_dist=1.2850, softmax_loss=2.2561, softmax_accuracy=0.5487, affine_affineMatrixloss=0.0454, affine_affineTransloss=0.0030, affine_loss_num=334.8400, affine_loss_sum=0.0457, nonOccRecMSE_occ=0.7100, nonOccRecMSE_nonOcc=0.6299, nonOccRecMSE_loss=0.6299
[2023-04-13 11:27:35] [INFO]: Iteration 02100, Cost 238.35s, triplet_loss=0.1990, triplet_hard_loss=1.1477, triplet_loss_num=63427.8750, triplet_mean_dist=1.3122, softmax_loss=2.1905, softmax_accuracy=0.5751, affine_affineMatrixloss=0.0452, affine_affineTransloss=0.0030, affine_loss_num=336.5300, affine_loss_sum=0.0455, nonOccRecMSE_occ=0.6890, nonOccRecMSE_nonOcc=0.6221, nonOccRecMSE_loss=0.6221
[2023-04-13 11:31:22] [INFO]: Iteration 02200, Cost 226.81s, triplet_loss=0.1991, triplet_hard_loss=1.1524, triplet_loss_num=64328.9062, triplet_mean_dist=1.3206, softmax_loss=2.1886, softmax_accuracy=0.5674, affine_affineMatrixloss=0.0453, affine_affineTransloss=0.0030, affine_loss_num=328.5900, affine_loss_sum=0.0456, nonOccRecMSE_occ=0.7012, nonOccRecMSE_nonOcc=0.6235, nonOccRecMSE_loss=0.6235
[2023-04-13 11:34:42] [INFO]: Iteration 02300, Cost 200.15s, triplet_loss=0.1985, triplet_hard_loss=1.1455, triplet_loss_num=63339.1602, triplet_mean_dist=1.3136, softmax_loss=2.1976, softmax_accuracy=0.5677, affine_affineMatrixloss=0.0451, affine_affineTransloss=0.0029, affine_loss_num=335.5800, affine_loss_sum=0.0454, nonOccRecMSE_occ=0.6963, nonOccRecMSE_nonOcc=0.6167, nonOccRecMSE_loss=0.6167
[2023-04-13 11:37:59] [INFO]: Iteration 02400, Cost 196.62s, triplet_loss=0.1985, triplet_hard_loss=1.1494, triplet_loss_num=61530.3203, triplet_mean_dist=1.3384, softmax_loss=2.1650, softmax_accuracy=0.5809, affine_affineMatrixloss=0.0451, affine_affineTransloss=0.0030, affine_loss_num=346.5000, affine_loss_sum=0.0454, nonOccRecMSE_occ=0.6865, nonOccRecMSE_nonOcc=0.6128, nonOccRecMSE_loss=0.6128
[2023-04-13 11:41:09] [INFO]: Iteration 02500, Cost 190.18s, triplet_loss=0.1986, triplet_hard_loss=1.1556, triplet_loss_num=59943.6484, triplet_mean_dist=1.3578, softmax_loss=2.1482, softmax_accuracy=0.5840, affine_affineMatrixloss=0.0453, affine_affineTransloss=0.0030, affine_loss_num=342.1000, affine_loss_sum=0.0456, nonOccRecMSE_occ=0.6797, nonOccRecMSE_nonOcc=0.6050, nonOccRecMSE_loss=0.6050
[2023-04-13 11:44:43] [INFO]: Iteration 02600, Cost 214.14s, triplet_loss=0.1980, triplet_hard_loss=1.1521, triplet_loss_num=60276.4883, triplet_mean_dist=1.3537, softmax_loss=2.0994, softmax_accuracy=0.5977, affine_affineMatrixloss=0.0451, affine_affineTransloss=0.0030, affine_loss_num=357.8300, affine_loss_sum=0.0454, nonOccRecMSE_occ=0.6787, nonOccRecMSE_nonOcc=0.6001, nonOccRecMSE_loss=0.6001
[2023-04-13 11:47:49] [INFO]: Iteration 02700, Cost 185.80s, triplet_loss=0.1988, triplet_hard_loss=1.1600, triplet_loss_num=58429.5195, triplet_mean_dist=1.3760, softmax_loss=2.0840, softmax_accuracy=0.6046, affine_affineMatrixloss=0.0453, affine_affineTransloss=0.0030, affine_loss_num=346.9900, affine_loss_sum=0.0456, nonOccRecMSE_occ=0.6753, nonOccRecMSE_nonOcc=0.5996, nonOccRecMSE_loss=0.5996
[2023-04-13 11:51:07] [INFO]: Iteration 02800, Cost 198.23s, triplet_loss=0.1984, triplet_hard_loss=1.1631, triplet_loss_num=59162.1406, triplet_mean_dist=1.3788, softmax_loss=2.1187, softmax_accuracy=0.5919, affine_affineMatrixloss=0.0455, affine_affineTransloss=0.0030, affine_loss_num=323.0300, affine_loss_sum=0.0458, nonOccRecMSE_occ=0.6816, nonOccRecMSE_nonOcc=0.5972, nonOccRecMSE_loss=0.5972
[2023-04-13 11:53:48] [INFO]: Iteration 02900, Cost 160.65s, triplet_loss=0.1980, triplet_hard_loss=1.1557, triplet_loss_num=55633.2656, triplet_mean_dist=1.4025, softmax_loss=2.0509, softmax_accuracy=0.6150, affine_affineMatrixloss=0.0456, affine_affineTransloss=0.0030, affine_loss_num=350.6800, affine_loss_sum=0.0459, nonOccRecMSE_occ=0.6768, nonOccRecMSE_nonOcc=0.5967, nonOccRecMSE_loss=0.5967
[2023-04-13 11:56:31] [INFO]: Iteration 03000, Cost 162.70s, triplet_loss=0.1983, triplet_hard_loss=1.1656, triplet_loss_num=54245.8633, triplet_mean_dist=1.4280, softmax_loss=2.0419, softmax_accuracy=0.6214, affine_affineMatrixloss=0.0449, affine_affineTransloss=0.0030, affine_loss_num=356.7300, affine_loss_sum=0.0452, nonOccRecMSE_occ=0.6694, nonOccRecMSE_nonOcc=0.5879, nonOccRecMSE_loss=0.5879
[2023-04-13 11:59:32] [INFO]: Iteration 03100, Cost 180.97s, triplet_loss=0.1983, triplet_hard_loss=1.1625, triplet_loss_num=56647.3008, triplet_mean_dist=1.4019, softmax_loss=2.0534, softmax_accuracy=0.6118, affine_affineMatrixloss=0.0450, affine_affineTransloss=0.0030, affine_loss_num=344.4800, affine_loss_sum=0.0453, nonOccRecMSE_occ=0.6714, nonOccRecMSE_nonOcc=0.5942, nonOccRecMSE_loss=0.5942
[2023-04-13 12:02:42] [INFO]: Iteration 03200, Cost 190.60s, triplet_loss=0.1987, triplet_hard_loss=1.1656, triplet_loss_num=57846.1289, triplet_mean_dist=1.3789, softmax_loss=2.1272, softmax_accuracy=0.5888, affine_affineMatrixloss=0.0457, affine_affineTransloss=0.0027, affine_loss_num=331.5600, affine_loss_sum=0.0460, nonOccRecMSE_occ=0.6768, nonOccRecMSE_nonOcc=0.5991, nonOccRecMSE_loss=0.5991
